Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,Website
Norwegian Air International Ltd,06:00,09:00,4h 00m,$110.54,Direct,0h,-,-,Booking
"SAS, operated by Jettime A/S",07:00,13:15,7h 15m,$130.88,1 stop,['2h 35m'],['CPH'],['Copenhagen Apt'],Booking
Ryanair,22:50,10:25,12h 35m,$119.24,1 stop,['7h 15m'],"['STN', 'LTN']","['London Stansted Apt', 'London Luton Apt']",Booking
Ryanair,23:20,22:50,25h 30m,$77.36,1 stop,['19h 35m'],NaN,NaN,Booking
Norwegian Air International Ltd,06:15,18:35,13h 20m,$127.70,1 stop,['2h 35m'],['CPH'],['Copenhagen Apt'],Booking
Ryanair,22:50,11:15,13h 25m,$135.90,1 stop,['8h 10m'],"['STN', 'LGW']","['London Stansted Apt', 'London Gatwick Apt']",Booking
Ryanair,21:05,08:50,12h 45m,$144.16,1 stop,['8h 00m'],NaN,NaN,Booking
Ryanair,21:05,19:10,23h 05m,$93.67,1 stop,['18h 15m'],NaN,NaN,Booking
Finnair,07:45,10:50,4h 05m,$389.48,Direct,0h,-,-,Booking
Air Baltic,21:20,09:50,13h 30m,$153.20,1 stop,['8h 40m'],NaN,NaN,Booking
Ryanair,22:50,12:35,14h 45m,$148.40,1 stop,['9h 35m'],"['STN', 'LGW']","['London Stansted Apt', 'London Gatwick Apt']",Booking
Lufthansa,13:40,18:20,5h 40m,$307.05,1 stop,['1h 00m'],['FRA'],['Frankfurt International Apt'],Booking
Ryanair,22:50,21:15,23h 25m,$108.24,1 stop,['8h 40m'],NaN,NaN,Booking
Ryanair,22:50,19:40,21h 50m,$119.24,1 stop,['16h 30m'],['STN'],['London Stansted Apt'],Booking
Ryanair,22:50,20:55,23h 05m,$115.11,1 stop,['17h 35m'],['STN'],['London Stansted Apt'],Booking
Ryanair,23:20,14:25,16h 05m,$139.79,2 stops,"['5h 55m', '3h 10m']",['MAD'],['Madrid Barajas Apt'],Booking
Ryanair,21:05,21:20,25h 15m,$100.29,2 stops,"['17h 45m', '1h 15m']",NaN,NaN,Booking
Ryanair,22:50,17:25,19h 35m,$138.67,1 stop,['14h 20m'],"['STN', 'LGW']","['London Stansted Apt', 'London Gatwick Apt']",Booking
Ryanair,23:20,23:50,25h 30m,$103.93,2 stops,"['5h 40m', '13h 45m']",['CRL'],['Brussels South Charleroi Airport'],Booking
Ryanair,22:50,14:25,16h 35m,$147.17,2 stops,"['6h 10m', '3h 30m']","['STN', 'MAD']","['London Stansted Apt', 'Madrid Barajas Apt']",Booking
Ryanair,22:50,14:00,16h 10m,$150.37,2 stops,"['8h 15m', '1h 30m']",['STN'],['London Stansted Apt'],Booking
Air Baltic,05:25,20:40,16h 15m,$150.81,2 stops,['10h 05m'],['CPH'],['Copenhagen Apt'],Booking
Ryanair,22:50,21:20,23h 30m,$114.43,2 stops,"['6h 55m', '10h 00m']",['STN'],['London Stansted Apt'],Booking
Ryanair,22:50,21:20,23h 30m,$116.80,2 stops,"['5h 40m', '13h 45m']",['CRL'],['Brussels South Charleroi Airport'],Booking
Ryanair,23:20,20:55,22h 35m,$123.90,2 stops,"['13h 30m', '3h 30m']",['TSF'],['Venice Treviso Apt'],Booking
Ryanair,21:05,20:55,24h 50m,$116.46,2 stops,"['9h 35m', '9h 45m']",['TSF'],['Venice Treviso Apt'],Booking
