Airline,Departure,Arrival,Duration,Price,No. Transit,Layover Time,Layover Place Code,Layover Place,website
Norwegian,6:00 am , 9:00 am,4h 00m,$100,nonstop,0h,-,-,Kayak
Norwegian,6:00 am , 9:00 am,4h 00m,$94,nonstop,0h,-,-,Kayak
Ryanair,11:20 pm ," 10:50 pm
+1",25h 30m,$65,1 stop,20h 35m,WMI-WAW,Airport change WMI-WAW,Kayak
Finnair,7:45 am , 10:50 am,4h 05m,$324,nonstop,0h,-,-,Kayak
Scandinavian Airlines,7:00 am , 1:15 pm,7h 15m,$114,1 stop,2h 35m,CPH,Kastrup Copenhagen,Kayak
"Finnair, Ryanair",5:05 pm , 10:35 pm,6h 30m,$150,1 stop,1h 35m,BCN,Barcelona-El Prat,Kayak
Lufthansa,1:40 pm , 6:20 pm,5h 40m,$298,1 stop,1h 00m,FRA,Frankfurt am Main,Kayak
"Lufthansa, Discover Airlines",1:40 pm , 6:20 pm,5h 40m,$309,1 stop,,FRA,Frankfurt am Main,Kayak
"Finnair, Ryanair",7:35 am , 1:15 pm,6h 40m,$207,1 stop,1h 50m,WAW,Warsaw Frederic Chopin,Kayak
"Finnair, easyJet",4:10 pm , 10:50 pm,7h 40m,$140,1 stop,2h 50m,MXP,Milan Malpensa,Kayak
"Finnair, Ryanair",5:05 pm , 10:00 pm,5h 55m,$211,1 stop,1h 00m,BCN,Barcelona-El Prat,Kayak
"Finnair, Norwegian",12:00 pm , 6:30 pm,7h 30m,$173,1 stop,2h 35m,OSL,Oslo Gardermoen,Kayak
"Finnair, Air Europa",5:05 pm , 10:45 pm,6h 40m,$175,1 stop,1h 55m,BCN,Barcelona-El Prat,Kayak
"Finnair, Ryanair",5:05 pm , 11:40 pm,7h 35m,$150,1 stop,2h 40m,BCN,Barcelona-El Prat,Kayak
"Ryanair, easyJet",10:50 pm ," 10:25 am
+1",13h 35m,$87,1 stop,8h 15m,STN-LTN,Airport change STN-LTN,Kayak
"Finnair, Vueling",5:05 pm , 10:20 pm,6h 15m,$218,1 stop,1h 25m,BCN,Barcelona-El Prat,Kayak
"Ryanair, Jet2",10:50 pm ," 9:30 am
+1",12h 40m,$92,1 stop,7h 05m,STN,London Stansted,Kayak
"Finnair, SWISS",4:10 pm , 8:50 pm,5h 40m,$279,1 stop,1h 00m,GVA,Geneva Geneve-Cointrin,Kayak
"Finnair, British Airways",8:00 am , 2:00 pm,7h 00m,$278,1 stop,1h 30m,LHR,London Heathrow,Kayak
"Finnair, Ryanair",5:35 pm , 11:30 pm,6h 55m,$230,1 stop,2h 10m,BER,Berlin Brandenburg,Kayak
"airBaltic, Norwegian",5:25 am , 12:05 pm,7h 40m,$137,2 stops,"0h 35m, 0h 55m","RIX, OSL","Riga Intl, Oslo Gardermoen",Kayak
"Ryanair, easyJet",10:50 pm ," 9:25 am
+1",12h 35m,$96,1 stop,7h 15m,STN-LTN,Airport change STN-LTN,Kayak
"Finnair, Wizz Air",11:35 am , 7:05 pm,8h 30m,$169,1 stop,3h 30m,WAW,Warsaw Frederic Chopin,Kayak
British Airways,8:00 am , 2:00 pm,7h 00m,$299,1 stop,1h 30m,LHR,London Heathrow,Kayak
"Finnair, Eurowings",7:55 am , 1:00 pm,6h 05m,$294,1 stop,1h 20m,ZRH,Zurich,Kayak
"Finnair, Ryanair",12:00 pm , 10:05 pm,11h 05m,$139,1 stop,6h 20m,OSL-TRF,Airport change OSL-TRF,Kayak
"Ryanair, British Airways",10:50 pm ," 8:55 am
+1",12h 05m,$129,1 stop,6h 40m,STN-LHR,Airport change STN-LHR,Kayak
"Norwegian, Air Europa",12:25 pm , 6:00 pm,6h 35m,$283,1 stop,1h 20m,ALC,Alicante,Kayak
"Finnair, Transavia",8:10 am , 3:45 pm,8h 35m,$213,1 stop,3h 35m,AMS,Amsterdam Schiphol,Kayak
"Finnair, Iberia",4:40 pm , 11:59 pm,8h 19m,$213,1 stop,2h 35m,MAD,Madrid Barajas,Kayak
KLM,7:00 am , 4:05 pm,10h 05m,$218,1 stop,5h 00m,AMS,Amsterdam Schiphol,Kayak
"Norwegian, Ryanair",6:15 am , 6:35 pm,13h 20m,$114,1 stop,8h 25m,PSA,Pisa Gal Galilei,Kayak
"Finnair, Ryanair",9:55 am , 4:50 pm,7h 55m,$259,1 stop,3h 00m,BUD,Budapest Ferenc Liszt Intl,Kayak
"Finnair, Ryanair",12:05 pm , 8:40 pm,9h 35m,$198,1 stop,4h 55m,CPH,Kastrup Copenhagen,Kayak
"Finnair, easyJet",8:00 am , 2:45 pm,7h 45m,$254,1 stop,2h 55m,MXP,Milan Malpensa,Kayak
British Airways,8:00 am , 4:20 pm,9h 20m,$275,1 stop,3h 45m,LHR,London Heathrow,Kayak
"airBaltic, Condor",5:25 am , 12:40 pm,8h 15m,$204,2 stops,"1h 25m, 1h 20m","RIX, FRA","Riga Intl, Frankfurt am Main",Kayak
"Finnair, Norwegian",7:25 am , 6:30 pm,12h 05m,$161,1 stop,7h 05m,OSL,Oslo Gardermoen,Kayak
"Finnair, Wizz Air",7:35 am , 7:05 pm,12h 30m,$157,1 stop,7h 30m,WAW,Warsaw Frederic Chopin,Kayak
KLM,7:00 am , 3:45 pm,9h 45m,$279,1 stop,4h 45m,AMS,Amsterdam Schiphol,Kayak
"Finnair, Norwegian",7:10 am , 5:50 pm,11h 40m,$181,1 stop,5h 45m,BGO,Bergen Flesland,Kayak
"airBaltic, Ryanair",5:25 am , 4:25 pm,12h 00m,$132,2 stops,"0h 50m, 4h 50m","RIX, LGW-STN","Riga Intl, Airport change LGW-STN",Kayak
"Finnair, British Airways",8:00 am , 4:20 pm,9h 20m,$245,1 stop,3h 45m,LHR,London Heathrow,Kayak
British Airways,8:00 am , 5:45 pm,10h 45m,$262,1 stop,5h 20m,LHR,London Heathrow,Kayak
"Finnair, easyJet",8:00 am , 5:35 pm,10h 35m,$211,1 stop,5h 00m,LHR-LGW,Airport change LHR-LGW,Kayak
Multiple airlines,2:15 pm , 9:50 pm,8h 35m,$258,2 stops,"1h 05m, 1h 25m","TLL, LGW","Tallinn Ulemiste, London Gatwick",Kayak
"Finnair, British Airways",8:00 am , 5:45 pm,10h 45m,$231,1 stop,5h 20m,LHR,London Heathrow,Kayak
"Finnair, easyJet",8:10 am , 4:30 pm,9h 20m,$231,2 stops,"2h 10m, 1h 20m","AMS, NCE","Amsterdam Schiphol, Nice Côte d'Azur",Kayak
